Introduction	引言
In correctly-specified nonlinear regression models the parameter is point identified if there is a unique true parameter	在正确指定的非线性回归模型中，如果存在唯一的真实参数，则参数被点识别
Figure 23.1: Nonlinear Regression Models	图 23.1：非线性回归模型
is the expected squared error	是期望的平方误差
Hence identification of the pseudo-true value under mis-specification is typically assumed rather than deduced	因此，误设下的伪真值的识别通常是假设的，而不是推断的
This is called the Nonlinear Least Squares (NLLS) estimator	这称为非线性最小二乘 (NLLS) 估计量
Figure 23.2: Average of Squared Errors Functions	图 23.2：平方误差函数的平均值
We illustrate with two of our examples	我们用两个例子来说明
You can see that the function appears to be close to quadratic near the minimum but becomes increasingly non-quadratic away from the minimum	你可以看到，该函数在最小值附近似乎接近二次函数，但在远离最小值时变得越来越非二次函数
The parameter estimates and standard errors for the three models are presented in Table 23.1	三个模型的参数估计值和标准误差如表 23.1 所示
The standard errors for the Box-Cox and Regression Kink models were calculated using the heteroskedasticity-robust formula, and those for the CES production function were calculated by the cluster-robust formula, clustering by country	Box-Cox 和 Regression Kink 模型的标准误差是使用异方差稳健公式计算的，CES 生产函数的标准误差是通过群组稳健公式计算的，按国家进行聚类
Take the Box-Cox regression	采用 Box-Cox 回归
Take the CES production function	采用 CES 生产函数
Take the regression kink function	采用回归扭结函数
Interpreting conventional t-ratios and p-values in nonlinear models should be done thoughtfully	应深思熟虑地解释非线性模型中的常规 t 比和 p 值
We first consider the consistency of the NLLS estimator	我们首先考虑 NLLS 估计量的一致性
Assumptions 1-4 are fairly standard	假设 1-4 是相当标准的
Theorem 23.1 Consistency of NLLS Estimator	定理23.1 NLLS估计量的一致性
We next discuss the asymptotic distribution for differentiable models	接下来我们讨论可微模型的渐近分布
Assumption 1 imposes that the model is correctly specified	假设 1 强制指定模型是正确的
This is important as otherwise the sampling distribution will be asymmetric	这很重要，否则抽样分布将不对称
Thus, asymptotically, the distribution of NLLS is identical to a linear regression	因此，NLLS 的分布渐近与线性回归相同
The asymptotic distribution simplifies under conditional homoskedasticity	渐近分布在条件同方差下得到简化
It is best if the derivative is calculated algebraically but a numerical derivative (a discrete derivative) can substitute	最好以代数方式计算导数，但也可以用数值导数（离散导数）代替
The covariance matrix components are estimated as	协方差矩阵成分估计为
If the error is homoskedastic the covariance matrix can be estimated using the formula	如果误差是同方差的，则可以使用以下公式估计协方差矩阵
To illustrate, standard errors for our three estimated models are displayed in Table 23.1	为了说明这一点，表 23.1 显示了我们三个估计模型的标准误差
The standard errors for the CES model were clustered by country	CES 模型的标准误差按国家/地区进行聚类
In small samples the standard errors for NLLS may not be reliable	在小样本中，NLLS 的标准误差可能不可靠
Consider the nonlinear regression model with an additive individual effect	考虑具有加性个体效应的非线性回归模型
To eliminate the individual effect we can apply the within or first-differencing transformations	为了消除个体效应，我们可以应用内变换或一阶差分变换
using the panel data notation	使用面板数据符号
An alternative is to apply the first-difference transformation	另一种方法是应用一阶差分变换
GMM can be applied to (23.8) similar to linear dynamic panel regression models	GMM 可以应用于类似于线性动态面板回归模型的（23.8）
Threshold Models	阈值模型
An extreme example of nonlinear regression is the class of threshold regression models	非线性回归的一个极端例子是阈值回归模型类
In this section we provide a review	在本节中，我们将进行评论
A threshold regression model takes the form	阈值回归模型采用以下形式
A threshold model is most suitable for a context where an economic model predicts a discontinuity in the CEF	阈值模型最适合经济模型预测 CEF 不连续性的情况
The Regression Kink model, for example, does not allow for kink interaction effects	例如，回归扭结模型不允许扭结交互效应
In principle this can be generalized by incorporating multiple thresholds in potentially different variables but this generalization is limited by sample size and information	原则上，这可以通过将多个阈值合并到可能不同的变量中来概括，但这种概括受到样本大小和信息的局限
Many empirical applications estimate threshold models using informal ad hoc methods	许多实证应用使用非正式的临时方法来估计阈值模型
To illustrate threshold regression we review an influential paper by Card, Mas and Rothstein (2008)	为了说明阈值回归，我们回顾了 Card、Mas 和 Rothstein (2008) 的一篇有影响力的论文
The data file CMR2008 is an abridged version of the authors' dataset	数据文件 CMR2008 是作者数据集的删节版本
Figure 23.3: Threshold Regression - Card-Mas-Rothstein (2008) Model	图 23.3：阈值回归 - Card-Mas-Rothstein (2008) 模型
The authors use a specification similar to the following	作者使用类似于以下的设定
Our estimates are reported in Table 23.2	我们的估计见表 23.2
This is nearly identical to the estimate obtained by Card, Mas and Rothstein (2008) using an ad hoc estimation method	这与 Card、Mas 和 Rothstein (2008) 使用临时估计方法获得的估计几乎相同
The white population was also decreasing in response to the unemployment rate, the renter share, and the use of public transportation, but increasing in response to the vacancy rate	白人人口也因失业率、租房者份额和公共交通的使用而减少，但因空置率而增加
The asymptotic theory of threshold regression is non-standard	阈值回归的渐近理论是非标准的
This is constructed numerically by grid search	这是通过网格搜索以数字方式构建的
Given the coefficient estimates the regression function can be plotted along with confidence intervals calculated conventionally	给定系数估计值，可以将回归函数与传统计算的置信区间一起绘制出来
The confidence bands are widest at the estimated tipping point	置信区间在估计的临界点处最宽
The empirical results presented in this section are distinct from, yet similar to, those reported in Card, Mas, and Rothstein (2008)	本节中提出的实证结果与 Card、Mas 和 Rothstein (2008) 中报告的结果不同但相似
This is an influential paper as it used the rigor of an economic model to give insight about segregation behavior, and used a rich detailed dataset to investigate the strong tipping point prediction	这是一篇有影响力的论文，因为它使用了严格的经济模型来深入了解隔离行为，并使用丰富的详细数据集来研究强临界点预测
Testing for Nonlinear Components	非线性元件检验
Identification can be tricky in nonlinear regression models	在非线性回归模型中识别可能很棘手
The latter arises in the Regression Kink and threshold regression models	后者出现在回归扭结和阈值回归模型中
For example, in the Card-Mas-Rothstein (2008) application this is the hypothesis of no tipping point which is the key issue explored in their paper	例如，在 Card-Mas-Rothstein（2008）的应用中，这是没有临界点的假设，这是他们论文中探讨的关键问题
As an example consider the threshold regression (23.9)	作为一个例子，考虑阈值回归（23.9）
To test the hypothesis a standard test is to reject for large values of the F statistic	为了检验假设，标准检验是拒绝较大的 F 统计值
The F statistic can be written as	F 统计量可以写为
Figure 23.4: Test for Threshold Regression in CMR Model	图 23.4：CMR 模型中的阈值回归检验
This is extremely high by conventional standards	以传统标准来看，这是非常高的
The asymptotic theory of the test has been worked out by Andrews and Ploberger (1994) and B	检验的渐近理论由 Andrews 和 Ploberger (1994) 以及 B. E. Hansen (1996) 制定
What is important is that the bootstrap data satisfy the null hypothesis	重要的是引导数据满足原假设
For clustered samples we need to make a minor modification	对于群组样本，我们需要进行较小的修改
The modified algorithm uses the following steps	修改后的算法使用以下步骤
To illustrate we apply this test to the threshold regression (23.9) estimated with the Card-Mas-Rothstein (2008) data	为了说明这一点，我们将此检验应用于使用 Card-Mas-Rothstein (2008) 数据估计的阈值回归 (23.9)
Thus despite the visually strong evidence of a tipping effect from the previous section the statistical evidence of this effect is strong but not overwhelming	因此，尽管上一节中的倾斜效应在视觉上有强有力的证据，但这种效应的统计证据是强有力的，但不是压倒性的
Stata has a built-in command nl for NLLS estimation	Stata 有一个内置命令 nl 用于 NLLS 估计
It is prudent to try several starting values because the algorithm is not guaranteed to converge to the global minimum	尝试多个起始值是谨慎的做法，因为该算法不能保证收敛到全局最小值
Estimation of NLLS in R or MATLAB requires a bit more programming but is straightforward	在 R 或 MATLAB 中估计 NLLS 需要更多编程，但很简单
For scalar parameters use optimize	对于标量参数，请使用优化
Proof of Theorem 23.1	定理23.1的证明
The right side has finite expectation under Assumptions 23.1, parts 3 and 4	根据假设 23.1 第 3 部分和第 4 部分，右侧的期望是有限的
Proof of Theorem 23.2	定理23.2的证明
To show condition 1, by the Cauchy-Schwarz inequality (B.32) and Assumption 23.2.2 and 23.2.4	为了显示条件 1，由 Cauchy-Schwarz 不等式 (B.32) 和假设 23.2.2 和 23.2.4
We next show condition 3	接下来我们展示条件 3
under Assumption 23.2.5	根据假设 23.2.5
Condition 5 is implied by Assumption 23.2.6	条件 5 由假设 23.2.6 隐含
Quantile Regression	分位数回归
This chapter introduces median regression (least absolute deviations) and quantile regression	本章介绍中位数回归（最小绝对误差）和分位数回归
An excellent monograph on the subject is Koenker (2005)	Koenker (2005) 是关于该主题的优秀专着
Median Regression	中值回归
When a distribution is symmetric then the median equals the mean but when the distribution is asymmetric they differ	当分布对称时，中位数等于平均值，但当分布不对称时，中位数不同
Throughout this textbook we have primarily focused on conditional relationships	在这本教科书中，我们主要关注条件关系
Similarly we define the conditional median as the median of a sub-population	类似地，我们将条件中位数定义为子总体的中位数
These are the wages of a "typical" man and woman	这些是“典型”男人和女人的工资
We now present analogous properties of the median	我们现在提出中位数的类似特征
Both are symmetric and so treat positive and negative errors identically	两者都是对称的，因此对正误差和负误差的处理方式相同
Figure 24.1: LAD Criterion	图 24.1：LAD 准则
Least Absolute Deviations	最小绝对误差
This is similar to the classical average of squared errors function but instead is the average of absolute errors	这类似于经典的平方误差函数平均值，但它是绝对误差的平均值
This is the sample version of (24.8)	这是 (24.8) 的示例版本
In large samples the facets diminish in size and the criterion approaches a smooth function	在大样本中，面的尺寸减小并且标准接近平滑函数
Since the criterion is faceted the minimum may be a set	由于标准是多面的，因此最小值可以是一组
Fortunately for applications good estimation algorithms are available and simple to use	幸运的是，对于应用程序来说，可以使用良好的估计算法并且易于使用
In Stata, LAD is implemented by qreg	在Stata中，LAD是由qreg实现的
In R, LAD is implemented by rq in the quantreg package	在R中，LAD是由quantreg包中的rq实现的
The mean and median are measures of the central tendency of a distribution	平均值和中位数是分布集中趋势的度量
As an example, take the distribution of wages from the CPS dataset	以 CPS 数据集中的工资分布为例
We are also interested in the quantiles of conditional distributions	我们还对条件分布的分位数感兴趣
We see that the differences between men's and women's wages are increasing by quantile	我们看到男性和女性工资之间的差异正在按分位数增加
Figure 24.2: Quantile Regressions	图 24.2：分位数回归
These quantile regression functions provide a summary of the conditional distribution of wages given education	这些分位数回归函数提供了受教育程度工资条件分布的摘要
We define the quantile regression model analogously to the median regression model:	我们定义与中值回归模型类似的分位数回归模型：
Recall that the mean minimizes the squared error loss and the median minimizes the absolute error loss	回想一下，平均值使平方误差损失最小化，中位数使绝对误差损失最小化
We now describe some properties of the quantile regression function	我们现在描述分位数回归函数的一些特征
Figure 24.3: Quantile Loss Function	图 24.3：分位数损失函数
This connects quantile regression with median and mean regression	这将分位数回归与中值和均值回归联系起来
This equals the true conditional quantile coefficient when true function is linear	当真函数是线性时，这等于真条件分位数系数
Example Quantile Shapes	分位数形状示例
Figure 24.4: Quantile Shapes	图 24.4：分位数形状
Linear Quantile Functions	线性分位数函数
Linear quantile regressions are convenient as they are simple to estimate and report	线性分位数回归很方便，因为它们易于估计和报告
The quantile regression functions for the level of wages appear to be concave; in contrast the quantile regression functions for log wages are close to linear for education above 12 years	工资水平的分位数回归函数似乎是凹的；相比之下，对于 12 年以上受教育程度的人来说，对数工资的分位数回归函数接近线性
Parallel Quantile Functions	并行分位数函数
An example is shown in Figure 24.4(b)	图 24.4(b) 显示了一个示例
Here we plot a set of quantile regression functions which are mutually parallel	在这里，我们绘制了一组相互平行的分位数回归函数
Thus parallel quantile functions is indicative of conditional homoskedasticity	因此，平行分位数函数表示条件同方差性
Once again examine the quantile regression functions for log wages displayed in Figure 24.2(b)	再次检查图 24.2(b) 中显示的对数工资的分位数回归函数
This is a strong motivation for applying the logarithmic transformation for a wage regression	这是应用对数变换进行工资回归的强烈动机
Coefficient Heterogeneity	系数异质性
These quantile functions are parabolic	这些分位数函数是抛物线的
The minimization techniques are identical to those used for median regression; hence typical software packages treat the two together	最小化技术与中值回归所使用的技术相同；因此，典型的软件包将两者放在一起处理
In Stata, quantile regression is implemented by qreg	在Stata中，分位数回归是通过qreg实现的
We first provide conditions for consistent estimation	我们首先提供一致估计的条件
Theorem 24.3 Consistency of Quantile Regression Estimator	定理24.3分位数回归估计量的一致性
These conditions are rather abstract but mild	这些条件相当抽象但温和
We now provide the asymptotic distribution	我们现在提供渐近分布
Theorem 24.4 Asymptotic Distribution of Quantile Regression Estimator	定理24.4分位数回归估计量的渐近分布
Combined with (24.19) we have three levels of asymptotic covariance matrices	结合（24.19），我们得到了三级渐近协方差矩阵
The most common method for estimation of quantile regression covariance matrices, standard errors, and confidence intervals is the bootstrap	估计分位数回归协方差矩阵、标准误差和置信区间的最常用方法是引导程序
This requires changing the default settings in common programs such as Stata	这需要更改Stata等常用程序中的默认设置
In Stata, quantile regression is implemented using qreg	在Stata中，分位数回归是使用qreg实现的
The bootstrap command followed by estat bootstrap produces BC percentile confidence intervals	bootstrap 命令后跟 estat bootstrap 会生成 BC 百分位置信区间
In R, quantile regression is implemented by the function rq in the quantreg package	在 R 中，分位数回归是通过 quantreg 包中的函数 rq 实现的
At present, the quantreg package does not include bootstrap percentile confidence intervals	目前，quantreg 包不包括 bootstrap 百分位数置信区间
Under clustered dependence the asymptotic covariance matrix changes	在群组依赖下，渐近协方差矩阵会发生变化
This can be estimated as	这可以估计为
In Stata, the clustered bootstrap can be accomplished by: bootstrap, reps(\#) cluster(id): qreg y x, followed by estat bootstrap	在Stata中，群组引导可以通过以下方式完成：bootstrap,reps(\#) cluster(id):qreg y x，然后是estat bootstrap
We illustrate the application of clustered quantile regression using the Duflo, Dupas, and Kremer (2011) school tracking application. (See Section 4.21.) Recall, the question was whether or not tracking (separating students into classrooms based on an initial test) influenced average end-of-year scores	我们使用 Duflo、Dupas 和 Kremer (2011) 学校跟踪应用程序来说明群组分位数回归的应用
Overall the evidence that tracking affects student performance is weak	总体而言，跟踪影响学生表现的证据很弱
Table 24.2: Quantile Regressions of Student Testscores on Tracking	表 24.2：学生跟踪检验成绩的分位数回归
Quantile Crossings	分位数交叉
This is only a problem in practical applications if estimated quantile functions actually cross	如果估计的分位数函数实际上交叉，这只是实际应用中的问题
However when estimated quantile regression functions cross one another it can be prudent to address the issue	然而，当估计的分位数回归函数相互交叉时，可以谨慎地解决这一问题
To illustrate examine Figure 24.5(a)	为了说明这一点，请查看图 24.5(a)
This is the quantile regression crossing phenomenon	这就是分位数回归交叉现象
When quantile regressions cross one another there are several possible remedies	当分位数回归相互交叉时，有几种可能的补救措施
First, you could re-specify the model	首先，你可以重新指定模型
Figure 24.5: Quantile Crossings	图 24.5：分位数交叉
While the logarithmic/exponential transformation works well for a wage regression, it is not a generic solution	虽然对数/指数变换对于工资回归效果很好，但它不是一个通用的解决方案
A second approach is to reassess the empirical task	第二种方法是重新评估实证任务
A solution is to truncate the data to eliminate observations with low education levels	解决方案是截断数据以消除教育水平较低的观测结果
A third approach is to constrain the estimated functions to satisfy monotonicity	第三种方法是约束估计函数以满足单调性
This approach may be feasible if the quantile crossing problem is mild	如果分位数交叉问题较轻，这种方法可能是可行的
A final approach is rearrangement	最后一种方法是重新排列
The R package quantreg includes the option rearrange to implement their procedure	R 包 quantreg 包含选项重新排列来实现其过程
Of these four approaches, my recommendation is to start with a careful and thoughtful re-specification of the model	在这四种方法中，我的建议是从仔细且深思熟虑地重新设定模型开始
Quantile Causal Effects	分位数因果效应
One question which frequently arises in the study of quantile regression is "Can we interpret the quantile regression causally?" We can partially answer this question in the treatment response framework by providing conditions under which the quantile regression derivatives equal quantile treatment effects	在分位数回归研究中经常出现的一个问题是“我们可以因果地解释分位数回归吗？”我们可以通过提供分位数回归导数等于分位数治疗效果的条件，在治疗反应框架中部分回答这个问题
In general this is heterogeneous	一般来说，这是异质的
From observational data we can estimate the quantile regression function	根据观测数据，我们可以估计分位数回归函数
Assumption 24.1 Conditions for Quantile Causal Effect	假设 24.1 分位数因果效应的条件
Assumption 24.1.1 excludes multi-dimensional unobserved heterogeneity	假设 24.1.1 排除了多维不可观察到的异质性
Assumption 24.1.4 is the traditional conditional independence assumption	假设24.1.4是传统的条件独立假设
The proof is in Section 24.16	证明在第 24.16 节中
Random Coefficient Representation	随机系数表示
For some theoretical purposes it is convenient to write the quantile regression model using a random coefficient representation	出于某些理论目的，使用随机系数表示形式编写分位数回归模型很方便
This also provides an alternative interpretation of the coefficients	这也提供了系数的另一种解释
Nonparametric Quantile Regression	非参数分位数回归
As emphasized in Section 24.10, quantile regression functions are undoubtedly nonlinear with unknown functional form and hence nonparametric	正如第 24.10 节所强调的，分位数回归函数无疑是非线性的，具有未知的函数形式，因此是非参数的
For brevity we briefly discuss series methods which have the advantage that they are easily implemented with conventional software	为了简洁起见，我们简要讨论系列方法，其优点是可以使用传统软件轻松实现
The nonparametric quantile regression model is	非参数分位数回归模型为
A spline approximation is defined similarly	样条近似的定义类似
Undoubtedly these questions are an important topic for future study	毫无疑问，这些问题是未来研究的重要课题
To illustrate we revisit the nonparametric polynomial estimates of the experience profile for collegeeducated women earlier displayed in Figure 20.1	为了说明这一点，我们重新审视之前图 20.1 中显示的受过大学教育的女性的经验概况的非参数多项式估计
This means that heterogeneity in wages increases more than proportionately as experience increases	这意味着工资的异质性随着经验的增加而增加
It seems natural to consider estimation by one of our standard methods: (1) Remove the individual effect by the within transformation; (2) Remove the invidual effect by first differencing; (3) Estimate a full quantile regression model using the dummy variable representation	考虑通过我们的标准方法之一进行估计似乎是很自然的：（1）通过内部变换消除个体效应； (2)通过一阶差分去除个体效应； (3) 使用虚拟变量表示估计完整分位数回归模型
Figure 24.6: Log Wage Quantile Regressions	图 24.6：对数工资分位数回归
dummy variable model has the number of parameters proportional to sample size and in this context nonlinear estimators (including quantile regression) are inconsistent	虚拟变量模型的参数数量与样本大小成正比，在这种情况下，非线性估计量（包括分位数回归）是不一致的
There have been several proposals to deal with this issue but none are particularly satisfactory	已经有几个解决这个问题的建议，但没有一个特别令人满意
Given this assumption we can write the quantile regression model as	考虑到这个假设，我们可以将分位数回归模型写为
Canay's estimator takes the following steps. 1	Canay 的估计量采取以下步骤
In general the topic of panel quantile regression is a potentially important topic for further econometric research	一般来说，面板分位数回归主题是进一步计量经济学研究的潜在重要主题
As we studied in Chapter 12, in many structural economic models some regressors are potentially endogenous, meaning jointly dependent with the regression error	正如我们在第 12 章中所研究的，在许多结构经济模型中，一些回归变量可能是内生的，这意味着与回归误差共同相关
Similar methods can be applied in quantile regression though the techniques are computationally more difficult, the theory less well developed, and applications limited	类似的方法可以应用于分位数回归，尽管这些技术在计算上更加困难，理论不够完善并且应用有限
The method of IV quantile regression was articulated by Chernozhukov and C	IV 分位数回归方法由 Chernozhukov 和 C. Hansen (2005) 阐述，欲了解更多详细信息，请参阅该方法
Proof of Theorem 24.3: The quantile regression estimator is an m-estimator, so we appeal to Theorem 22.3, which holds under five conditions	定理 24.3 的证明：分位数回归估计量是一个 m 估计量，因此我们求助于定理 22.3，它在五个条件下成立
The right side has finite expectation under the assumptions	右边在假设下有有限的期望
The inequality holds by assumption; we now establish the equality	假设不等式成立；我们现在建立平等
Thus the latter is the unique minimizer	因此后者是唯一的最小化
Condition 5 holds by assumption	条件 5 通过假设成立
Proof of Theorem 24.5: By the definition of the quantile treatment effect, monotonicity of causal effect (Assumption 24.1.2), definition of the causal effect, monotonicity of the treatment response (Assumption 24.1.3), and the definition of the quantile regression function, we find that	定理24.5的证明：通过分位数治疗效果的定义、因果效应的单调性（假设24.1.2）、因果效应的定义、治疗反应的单调性（假设24.1.3）以及分位数回归的定义函数，我们发现
Multiple Choice	多项选择
This chapter surveys multinomial models	本章研究多项模型
This includes multinomial response, multinomial logit, conditional logit, nested logit, mixed logit, multinomial probit, ordered response, count data, and the BLP demand model	这包括多项式响应、多项式 Logit、条件 Logit、嵌套 Logit、混合 Logit、多项式 Probit、有序响应、计数数据和 BLP 需求模型
For more detailed treatments see Maddala (1983), Cameron and Trivedi (1998), Cameron and Trivedi (2005), Train (2009), and Wooldridge (2010)	更详细的处理参见 Maddala (1983)、Cameron 和 Trivedi (1998)、Cameron 和 Trivedi (2005)、Train (2009) 和 Wooldridge (2010)
Multinomial Response	多项式响应
We illustrate by extending the marriage status example of the previous chapter	我们通过扩展上一章的婚姻状况示例来进行说明
For our illustration we take the population of college-educated women	为了说明这一点，我们以受过大学教育的女性人口为例
The estimates show that the probability of "never married" decreases monotonically with age, that for "married" increases until around 38 and then decreases slowly, the probability of "divorced" increases monotonically with age, and the probability of "separated" is low for all age groups	估计结果显示，“未婚”概率随年龄单调下降，“已婚”概率增加至38岁左右，然后缓慢下降，“离婚”概率随年龄单调上升，“分居”概率较低适合所有年龄段
A defect of the estimates of Figure 26.1(a) is that the sum of the four estimated probabilities (displayed as "Total") does not equal one	图 26.1(a) 估计的一个缺陷是四个估计概率的总和（显示为“总计”）不等于 1
For the remainder of this chapter the estimators discussed do not have this defect	在本章的其余部分中，讨论的估计量不存在此缺陷
Figure 26.1: Probability of Marital Status Given Age for College Educated Women	图 26.1：受过大学教育的女性在特定年龄下的婚姻状况概率
Multinomial response is typically motivated and derived from a model of latent utility	多项式响应通常是由潜在效用模型激发和导出的
The choice is also unchanged if each utility (26.1) is multiplied by positive constant	如果每个效用 (26.1) 乘以正常数，则选择也不会改变
Two classical multinomial response models are logit and probit	两个经典的多项响应模型是 Logit 和 Probit
Multinomial Logit	多项式Logit
The simple multinomial logit model is	简单的多项 Logit 模型是
We call (26.2) the simple multinomial logit to distinguish it from the conditional logit model of the next section	我们将（26.2）称为简单多项式 Logit，以将其与下一节的条件 Logit 模型区分开
The multinomial logit arises from the latent utility model (26.1) for the following error distributions	多项式 Logit 源自以下误差分布的潜在效用模型 (26.1)
Definition 26.1 The Type I Extreme Value distribution function is	定义26.1 I型极值分布函数为
Definition 26.2 The Generalized Extreme Value (GEV) joint distribution is	定义 26.2 广义极值 (GEV) 联合分布为
The proof is in Section 26.13	证明在第 26.13 节中
In contemporary choice modelling a commonly-used assumption is that utility is extreme value distributed	在当代选择模型中，一个常用的假设是效用是极值分布的
A reasonable deduction is that this assumption is made for algebraic convenience, not because anyone believes that utility is actually extreme valued distributed	一个合理的推论是，这个假设是为了代数方便而做出的，而不是因为有人相信效用实际上是极值分布的
The log-likelihood function is	对数似然函数是
The maximum likelihood estimator (MLE) is:	极大似然估计量 (MLE) 为：
The log-likelihood function is globally concave so maximization is numerically straightforward	对数似然函数是全局凹的，因此最大化在数值上很简单
To illustrate, we estimate the marriage status example of the previous section using multinomial logit and display the estimated response probabilities in Figure 26.1(b)	为了说明这一点，我们使用多项 Logit 估计上一节的婚姻状况示例，并在图 26.1(b) 中显示估计的响应概率
The estimates are similar to the binary choice estimates in panel (a) but by construction sum to one	这些估计与图 (a) 中的二值选择估计类似，但构造总和为 1
The coefficients of a multinomial choice model can be difficult to interpret	多项选择模型的系数可能难以解释
In Stata, multinomial logit can be implemented using the mlogit command	在Stata中，可以使用mlogit命令实现多项式logit
In R, multinomial logit can be implemented using the mlogit command	在 R 中，可以使用 mlogit 命令实现多项式 logit
Conditional Logit	条件逻辑
A choice model which allows for regressors which differ across alternatives was developed by McFadden in the 1970s, which he called the Conditional Logit model	McFadden 在 20 世纪 70 年代开发了一种选择模型，该模型允许不同替代方案之间存在不同的自变量，他将其称为条件 Logit 模型
An example will help illustrate the setting	一个例子将有助于说明该设置
As a concrete example consider the dataset Koppelman on the textbook webpage	作为一个具体示例，请考虑教科书网页上的数据集 Koppelman
Available regressors include the cost of each alternative, the in-vehicle travel time (intime) of each alternative, household income, and an indicator if one of the trip endpoints is an urban center	可用的回归变量包括每个替代方案的成本、每个替代方案的车内出行时间 (intime)、家庭收入以及行程终点之一是否为城市中心的指标
To understand the difference between the multinomial logit and the conditional logit models, (26.1) describes how the utility of a specific alternative (e.g. married or divorced) is affected by a variable such as age	为了理解多项 Logit 模型和条件 Logit 模型之间的差异，（26.1）描述了特定替代方案（例如结婚或离婚）的效用如何受到年龄等变量的影响
These variables have common meanings across alternatives so the restriction that the coefficients are common appears reasonable	这些变量在各个替代方案中具有共同的含义，因此系数共同的约束似乎是合理的
Using the Koppelman dataset we estimate a conditional logit model	使用 Koppelman 数据集，我们估计条件 Logit 模型
The income coefficient is positive for air travel and negative for bus travel, indicating that transportation choice is affected by a traveler's income in the expected way	航空旅行的收入系数为正，巴士旅行的收入系数为负，这表明交通选择以预期的方式受到旅行者收入的影响
As discussed previously, coefficient estimates can be difficult to interpret	如前所述，系数估计可能难以解释
To illustrate, we report a set of estimated AME of cost and time factors on the probability of train travel in Table 26.2	为了说明这一点，我们在表 26.2 中报告了一组关于火车旅行概率的成本和时间因素的估计 AME
Note: For ease of reading, the reported AME estimates have been multiplied by 100	注：为了便于阅读，报告的 AME 估计值已乘以 100
In Stata, model (26.7) can be estimated using cmclogit	在 Stata 中，可以使用 cmclogit 估计模型 (26.7)
Independence of Irrelevant Alternatives	不相关替代方案的独立性
The multinomial logit model has an undesirable restriction	多项 Logit 模型有一个不希望的局限
This property is strongly tied to the multinomial logit model as the latter was derived axiomatically by Luce (1959) from an IIA assumption	该特征与多项 Logit 模型密切相关，因为后者是 Luce (1959) 根据 IIA 假设公理地推导出来的
To understand why IIA may be problematic it is helpful to think through specific examples	为了理解为什么 IIA 可能存在问题，思考具体的例子会有所帮助
In this latter setting a low airplane ticket may make it highly unlikely that an individual will select train travel while unaffecting their likelihood of selecting car travel	在后一种情况下，低廉的机票可能使个体不太可能选择火车旅行，同时不影响他们选择汽车旅行的可能性
A famous example of this problem is the following setting	此问题的一个著名示例是以下设置
This example is known as the "red bus/blue bus puzzle"	这个例子被称为“红色巴士/蓝色巴士谜题”
The source of the problem is that the IIA structure and multinomial logit model exclude differentiated substitutability among the alternatives	问题的根源在于IIA结构和多项logit模型排除了替代方案之间有区别的可替代性
red bus and blue bus) are close substitutes	当替代品的子集（例如红色巴士和蓝色巴士）是相近替代品时，这是不合适的
Part of the problem is due to the restrictive correlation pattern imposed on the errors by the generalized extreme value distribution	部分问题是由于广义极值分布对误差施加的约束性相关模式造成的
To allow for cases such as red bus/blue bus we require a more flexible correlation structure which allows subsets of alternatives to have differential correlations	为了允许诸如红色总线/蓝色总线之类的情况，我们需要更灵活的相关结构，该结构允许替代方案的子集具有差异相关性
Nested Logit	嵌套逻辑
The nested logit model circumvents the IIA problem described in the previous section by separating the alternatives into groups	嵌套 Logit 模型通过将备选方案分组来规避上一节中描述的 IIA 问题
Alternatives within groups are allowed to be correlated but are assumed uncorrelated across groups	组内的替代方案允许相关，但假设组间不相关
McFadden's Nested Logit model assumes that the errors have the following GEV joint distribution	McFadden 的嵌套 Logit 模型假设误差具有以下 GEV 联合分布
This is a generalization of the GEV distribution (26.3)	这是 GEV 分布 (26.3) 的概括
If a group has a single alternative its dissimilarity parameter is not identified so should be set to one	如果一个组只有一个替代方案，则其相异性参数不会被识别，因此应设置为 1
The nested logit model (26.12)-(26.13) is structurally identical to the conditional logit model except that the error distribution is (26.13) instead of (26.3)	嵌套 Logit 模型 (26.12)-(26.13) 在结构上与条件 Logit 模型相同，只是误差分布是 (26.13) 而不是 (26.3)
These can be included in the model with common coefficients	这些可以包含在具有公共系数的模型中
The partition of alternatives into groups is a modeling decision	将备选方案划分为组是一个建模决策
Alternatives with a low degree of substitutability should be placed in different groups	具有低可替代性的替代品应分为不同的组
To illustrate, consider a consumer choice of an automobile purchase	为了说明这一点，请考虑消费者购买汽车的选择
This shows the division of the decision "Car" into "Compact" and "Sports Utility Vehicle" and the further division by model	这显示了决策“汽车”分为“紧凑型”和“运动型多用途车”以及按型号的进一步划分
Figure 26.2: Nested Choice	图 26.2：嵌套选择
The scale of the coefficients is not identified separately from the scaling of the errors implicit in the GEV distribution (26.13)	系数的规模没有与 GEV 分布中隐含的误差的规模分开确定（26.13）
Some authors interpret model (26.12) as a nested sequential choice	一些作者将模型（26.12）解释为嵌套的顺序选择
The correct interpretation is degree of substitutability not the timing of decisions	正确的解释是可替代性的程度，而不是决策的时间安排
We now describe the nested logit response probabilities	我们现在描述嵌套的 Logit 响应概率
Because the probability structure of a nested logit model is more complicated than the conditional logit model it may be difficult to interpret the coefficient estimates	由于嵌套 Logit 模型的概率结构比条件 Logit 模型更复杂，因此可能难以解释系数估计
